Time,Value
12:33:48,30131
12:33:48,37135
12:33:48,45178
12:33:48,48704
12:33:48,40640
12:33:48,31316
12:33:48,28916
12:33:48,27246
12:33:48,21635
12:33:48,19339
12:33:48,13554
12:33:48,-4099
12:33:48,-13458
12:33:48,-8354
12:33:48,3029
12:33:48,8342
12:33:48,10474
12:33:48,16109
12:33:48,10160
12:33:48,4617
12:33:48,12691
12:33:48,21030
12:33:48,26430
12:33:48,32095
12:33:48,31207
12:33:48,28700
12:33:48,34528
12:33:48,41759
12:33:48,47669
12:33:48,50111
12:33:48,41667
12:33:48,26357
12:33:48,10339
12:33:48,-4395
12:33:48,-14911
12:33:48,-20576
12:33:48,-18814
12:33:48,-13479
12:33:48,-10760
12:33:48,-2662
12:33:48,13175
12:33:48,30011
12:33:48,46951
12:33:48,60815
12:33:48,66211
12:33:48,58330
12:33:48,43304
12:33:48,31324
12:33:48,17213
12:33:48,7433
12:33:48,4787
12:33:48,-326
12:33:48,-11246
12:33:49,-26673
12:33:49,-32467
12:33:49,-19491
12:33:49,4251
12:33:49,22829
12:33:49,29511
12:33:49,29407
12:33:49,29347
12:33:49,30966
12:33:49,30294
12:33:49,30122
12:33:49,28494
12:33:49,22250
12:33:49,15719
12:33:49,4966
12:33:49,-9964
12:33:49,-17016
12:33:49,-10214
12:33:49,-2250
12:33:49,3745
12:33:49,14385
12:33:49,22026
12:33:49,24388
12:33:49,26729
12:33:49,29719
12:33:49,34307
12:33:49,41807
12:33:49,44864
12:33:49,40162
12:33:49,34731
12:33:49,31024
12:33:49,22302
12:33:49,11182
12:33:49,8388
12:33:49,7976
12:33:49,3722
12:33:49,522
12:33:49,274
12:33:49,2272
12:33:49,8392
12:33:49,21147
12:33:49,32975
12:33:49,35907
12:33:49,32878
12:33:49,24079
12:33:49,12220
12:33:49,6337
12:33:49,5603
12:33:49,3807
12:33:49,2230
12:33:49,4296
12:33:49,6126
12:33:49,8351
12:33:49,18665
12:33:49,32247
12:33:49,39632
12:33:49,42311
12:33:49,44486
12:33:49,42576
12:33:49,34896
12:33:49,20293
12:33:49,-4706
12:33:49,-19249
12:33:49,-8234
12:33:49,-3549
12:33:49,-12406
12:33:49,-7418
12:33:49,-258
12:33:49,967
12:33:49,11687
12:33:49,23909
12:33:49,26951
12:33:49,26658
12:33:49,28558
12:33:49,31761
12:33:49,34840
12:33:49,40593
12:33:49,48983
12:33:49,49038
12:33:49,38423
12:33:49,25380
12:33:49,7583
12:33:49,-11458
12:33:49,-21603
12:33:49,-23844
12:33:49,-22299
12:33:49,-14146
12:33:49,-809
12:33:49,9620
12:33:49,20184
12:33:49,35478
12:33:49,50064
12:33:49,56703
12:33:49,61104
12:33:49,58781
12:33:49,45058
12:33:49,30048
12:33:49,9615
12:33:49,-4029
12:33:49,-6889
12:33:50,-6428
12:33:50,-9160
12:33:50,-24202
12:33:50,-25457
12:33:50,-6603
12:33:50,11908
12:33:50,26395
12:33:50,35334
12:33:50,33086
12:33:50,26107
12:33:50,24849
12:33:50,23673
12:33:50,21700
12:33:50,24179
12:33:50,24213
12:33:50,15611
12:33:50,763
12:33:50,-13783
12:33:50,-21734
